日期,星期,商品,天气,是否周末,是否促销,销量,客单价,销售额
3/2/2024,周六,青稞奶茶,晴,TRUE,FALSE,37,18,666
5/31/2024,周五,可可奶茶,阴,FALSE,FALSE,24,20,480
5/18/2024,周六,杨枝甘露,晴,TRUE,FALSE,41,19,779
3/20/2024,周三,可可奶茶,阴,FALSE,FALSE,30,20,600
4/9/2024,周二,水果茶,晴,FALSE,FALSE,23,11,253
5/17/2024,周五,珍珠奶茶,多云,FALSE,TRUE,31,13,403
4/14/2024,周日,可可奶茶,雨,TRUE,TRUE,57,11,627
3/4/2024,周一,芝士奶盖,雨,FALSE,FALSE,27,19,513
5/3/2024,周五,抹茶拿铁,晴,FALSE,FALSE,30,12,360
4/2/2024,周二,芋泥波波,多云,FALSE,FALSE,13,10,130
3/2/2024,周六,柠檬茶,阴,TRUE,FALSE,28,12,336
3/5/2024,周二,可可奶茶,多云,FALSE,FALSE,29,15,435
3/10/2024,周日,冰美式,晴,TRUE,FALSE,36,12,432
5/6/2024,周一,珍珠奶茶,晴,FALSE,FALSE,26,14,364
5/10/2024,周五,抹茶拿铁,雨,FALSE,FALSE,19,14,266
4/1/2024,周一,抹茶拿铁,雪,FALSE,FALSE,24,18,432
4/1/2024,周一,杨枝甘露,阴,FALSE,TRUE,33,18,594
3/1/2024,周五,水果茶,晴,FALSE,FALSE,22,16,352
3/8/2024,周五,杨枝甘露,晴,FALSE,TRUE,39,21,819
4/17/2024,周三,抹茶拿铁,雪,FALSE,TRUE,34,16,544
5/12/2024,周日,珍珠奶茶,多云,TRUE,FALSE,42,14,588
4/20/2024,周六,芝士奶盖,阴,TRUE,FALSE,36,13,468
5/14/2024,周二,芋泥波波,晴,FALSE,TRUE,36,16,576
4/15/2024,周一,柠檬茶,雨,FALSE,FALSE,37,11,407
5/27/2024,周一,青稞奶茶,多云,FALSE,FALSE,16,12,192
4/1/2024,周一,芝士奶盖,雪,FALSE,TRUE,0,12,480
4/27/2024,周六,可可奶茶,多云,TRUE,TRUE,-1,11,605
3/17/2024,周日,柠檬茶,雨,TRUE,FALSE,62,11,682
4/3/2024,周三,芋泥波波,晴,FALSE,TRUE,37,12,444
4/12/2024,周五,芋泥波波,阴,FALSE,TRUE,36,16,576
4/18/2024,周四,水果茶,雨,FALSE,FALSE,17,14,238
3/20/2024,周三,珍珠奶茶,雨,FALSE,FALSE,25,15,375
4/5/2024,周五,水果茶,阴,FALSE,TRUE,35,20,700
5/9/2024,周四,珍珠奶茶,雨,FALSE,FALSE,29,14,406
5/4/2024,周六,芝士奶盖,雨,TRUE,TRUE,0,13,793
3/8/2024,周五,抹茶拿铁,雪,FALSE,FALSE,23,11,253
3/31/2024,周日,青稞奶茶,晴,TRUE,FALSE,45,19,855
4/19/2024,周五,芝士奶盖,多云,FALSE,FALSE,20,15,300
3/4/2024,周一,芝士奶盖,雪,FALSE,FALSE,21,18,378
5/2/2024,周四,珍珠奶茶,晴,FALSE,FALSE,15,12,180
3/1/2024,周五,芝士奶盖,多云,FALSE,FALSE,18,15,270
3/19/2024,周二,冰美式,晴,FALSE,FALSE,19,11,209
5/24/2024,周五,水果茶,雨,FALSE,FALSE,15,12,180
4/25/2024,周四,抹茶拿铁,多云,FALSE,FALSE,28,19,532
3/29/2024,周五,冰美式,阴,FALSE,FALSE,19,12,228
3/1/2024,周五,冰美式,雪,FALSE,TRUE,46,19,874
5/12/2024,周日,芋泥波波,多云,TRUE,FALSE,41,13,533
4/10/2024,周三,杨枝甘露,雨,FALSE,FALSE,16,19,304
3/9/2024,周六,芝士奶盖,晴,TRUE,FALSE,33,16,528
4/23/2024,周二,杨枝甘露,阴,FALSE,FALSE,28,22,616
5/1/2024,周三,冰美式,多云,FALSE,FALSE,0,14,238
3/14/2024,周四,芋泥波波,多云,FALSE,FALSE,22,11,242
3/12/2024,周二,芝士奶盖,晴,FALSE,FALSE,35,12,420
4/25/2024,周四,杨枝甘露,晴,FALSE,FALSE,14,21,294
5/9/2024,周四,青稞奶茶,雨,FALSE,FALSE,19,16,304
5/2/2024,周四,杨枝甘露,雨,FALSE,TRUE,26,22,572
3/13/2024,周三,珍珠奶茶,多云,FALSE,FALSE,17,15,255
4/9/2024,周二,水果茶,阴,FALSE,FALSE,29,11,319
4/19/2024,周五,杨枝甘露,阴,FALSE,FALSE,28,18,504
4/29/2024,周一,青稞奶茶,雨,FALSE,FALSE,19,20,380
5/25/2024,周六,芝士奶盖,阴,TRUE,FALSE,51,13,663
4/19/2024,周五,可可奶茶,雪,FALSE,FALSE,30,19,570
4/30/2024,周二,青稞奶茶,阴,FALSE,FALSE,12,18,216
5/6/2024,周一,冰美式,晴,FALSE,FALSE,21,12,252
3/22/2024,周五,柠檬茶,多云,FALSE,TRUE,37,16,592
5/20/2024,周一,杨枝甘露,雨,FALSE,FALSE,19,18,342
4/20/2024,周六,可可奶茶,雨,TRUE,FALSE,35,19,665
4/23/2024,周二,芋泥波波,多云,FALSE,TRUE,51,11,561
5/12/2024,周日,芋泥波波,雪,TRUE,FALSE,40,14,560
5/2/2024,周四,冰美式,晴,FALSE,TRUE,43,19,817
5/28/2024,周二,水果茶,阴,FALSE,FALSE,0,13,208
4/4/2024,周四,芝士奶盖,雨,FALSE,FALSE,14,14,196
5/2/2024,周四,芋泥波波,多云,FALSE,FALSE,24,15,360
4/23/2024,周二,冰美式,多云,FALSE,FALSE,18,17,306
4/17/2024,周三,珍珠奶茶,晴,FALSE,FALSE,23,15,345
5/7/2024,周二,冰美式,多云,FALSE,TRUE,-1,13,299
4/16/2024,周二,柠檬茶,雨,FALSE,FALSE,40,11,440
3/31/2024,周日,芝士奶盖,雪,TRUE,FALSE,47,19,893
4/14/2024,周日,杨枝甘露,晴,TRUE,FALSE,39,18,702
5/13/2024,周一,柠檬茶,多云,FALSE,FALSE,21,20,420
3/3/2024,周日,珍珠奶茶,多云,TRUE,FALSE,49,12,588
5/17/2024,周五,青稞奶茶,阴,FALSE,FALSE,23,17,391
4/29/2024,周一,青稞奶茶,雪,FALSE,TRUE,50,15,750
5/16/2024,周四,冰美式,雨,FALSE,FALSE,26,11,286
4/5/2024,周五,芝士奶盖,雨,FALSE,FALSE,28,14,392
5/6/2024,周一,柠檬茶,雪,FALSE,FALSE,16,20,320
3/4/2024,周一,抹茶拿铁,雨,FALSE,FALSE,25,16,400
5/14/2024,周二,冰美式,雨,FALSE,FALSE,19,20,380
4/30/2024,周二,芝士奶盖,多云,FALSE,FALSE,27,12,324
4/30/2024,周二,杨枝甘露,雪,FALSE,FALSE,20,20,400
3/29/2024,周五,芝士奶盖,雨,FALSE,FALSE,22,15,330
4/7/2024,周日,抹茶拿铁,阴,TRUE,TRUE,57,19,1083
3/10/2024,周日,抹茶拿铁,雪,TRUE,TRUE,57,18,1026
3/7/2024,周四,杨枝甘露,多云,FALSE,FALSE,23,21,483
5/31/2024,周五,杨枝甘露,阴,FALSE,FALSE,14,20,280
3/1/2024,周五,抹茶拿铁,多云,FALSE,FALSE,20,19,380
5/2/2024,周四,芋泥波波,雪,FALSE,FALSE,20,16,320
5/1/2024,周三,水果茶,晴,FALSE,FALSE,15,10,150
5/7/2024,周二,柠檬茶,晴,FALSE,FALSE,13,13,169
4/14/2024,周日,青稞奶茶,晴,TRUE,FALSE,38,14,532
3/6/2024,周三,青稞奶茶,阴,FALSE,FALSE,28,18,504
5/27/2024,周一,杨枝甘露,阴,FALSE,FALSE,23,19,437
4/21/2024,周日,珍珠奶茶,多云,TRUE,FALSE,34,13,442
5/15/2024,周三,可可奶茶,晴,FALSE,FALSE,25,10,250
5/21/2024,周二,青稞奶茶,雪,FALSE,FALSE,21,11,231
3/3/2024,周日,珍珠奶茶,阴,TRUE,FALSE,29,14,406
3/20/2024,周三,柠檬茶,雨,FALSE,FALSE,31,18,558
5/17/2024,周五,杨枝甘露,晴,FALSE,FALSE,32,18,576
3/14/2024,周四,抹茶拿铁,雪,FALSE,TRUE,38,13,494
4/22/2024,周一,青稞奶茶,晴,FALSE,FALSE,18,17,306
3/1/2024,周五,珍珠奶茶,晴,FALSE,FALSE,22,15,330
3/12/2024,周二,可可奶茶,晴,FALSE,FALSE,22,13,286
4/7/2024,周日,青稞奶茶,晴,TRUE,TRUE,51,14,714
5/26/2024,周日,芝士奶盖,晴,TRUE,TRUE,48,12,576
3/22/2024,周五,芝士奶盖,阴,FALSE,FALSE,25,11,275
4/13/2024,周六,杨枝甘露,阴,TRUE,FALSE,35,20,700
5/28/2024,周二,抹茶拿铁,多云,FALSE,TRUE,35,11,385
5/15/2024,周三,抹茶拿铁,多云,FALSE,FALSE,999,19,551
3/17/2024,周日,抹茶拿铁,晴,TRUE,FALSE,47,10,470
5/23/2024,周四,芝士奶盖,雪,FALSE,FALSE,19,19,361
5/25/2024,周六,芝士奶盖,雪,TRUE,FALSE,50,11,550
4/1/2024,周一,抹茶拿铁,阴,FALSE,TRUE,-1,10,480
5/4/2024,周六,抹茶拿铁,多云,TRUE,TRUE,62,13,806
4/5/2024,周五,珍珠奶茶,雪,FALSE,FALSE,23,13,299
4/26/2024,周五,冰美式,晴,FALSE,FALSE,31,15,465
5/3/2024,周五,珍珠奶茶,阴,FALSE,FALSE,21,12,252
5/17/2024,周五,冰美式,雪,FALSE,FALSE,29,20,580
4/13/2024,周六,芝士奶盖,多云,TRUE,FALSE,31,18,558
5/16/2024,周四,抹茶拿铁,阴,FALSE,TRUE,44,10,440
5/21/2024,周二,青稞奶茶,晴,FALSE,TRUE,40,12,480
4/22/2024,周一,芋泥波波,雪,FALSE,TRUE,35,13,455
3/25/2024,周一,芝士奶盖,阴,FALSE,TRUE,43,19,817
4/27/2024,周六,抹茶拿铁,雪,TRUE,TRUE,60,18,1080
5/10/2024,周五,水果茶,雪,FALSE,FALSE,27,19,513
3/17/2024,周日,芋泥波波,雪,TRUE,FALSE,42,18,756
4/23/2024,周二,冰美式,雨,FALSE,FALSE,22,14,308
3/18/2024,周一,杨枝甘露,雪,FALSE,FALSE,31,20,620
5/10/2024,周五,芝士奶盖,多云,FALSE,FALSE,20,20,400
5/26/2024,周日,杨枝甘露,多云,TRUE,FALSE,55,20,1100
4/15/2024,周一,可可奶茶,雪,FALSE,FALSE,35,16,560
5/8/2024,周三,青稞奶茶,晴,FALSE,FALSE,23,16,368
5/25/2024,周六,珍珠奶茶,雨,TRUE,FALSE,33,14,462
3/19/2024,周二,珍珠奶茶,多云,FALSE,FALSE,19,14,266
3/14/2024,周四,冰美式,雪,FALSE,FALSE,25,14,350
3/7/2024,周四,水果茶,阴,FALSE,FALSE,32,15,480
3/7/2024,周四,珍珠奶茶,多云,FALSE,FALSE,25,13,325
5/30/2024,周四,芝士奶盖,多云,FALSE,FALSE,18,20,360
3/23/2024,周六,可可奶茶,阴,TRUE,TRUE,50,14,700
5/14/2024,周二,青稞奶茶,雨,FALSE,FALSE,12,10,120
4/11/2024,周四,冰美式,雪,FALSE,FALSE,15,17,255
5/10/2024,周五,芝士奶盖,雨,FALSE,FALSE,14,18,252
5/4/2024,周六,杨枝甘露,雪,TRUE,FALSE,39,20,780
3/28/2024,周四,芝士奶盖,雨,FALSE,FALSE,29,18,522
5/11/2024,周六,珍珠奶茶,雨,TRUE,FALSE,38,13,494
5/27/2024,周一,芝士奶盖,晴,FALSE,FALSE,999,14,420
4/17/2024,周三,可可奶茶,阴,FALSE,TRUE,47,15,705
3/13/2024,周三,杨枝甘露,晴,FALSE,FALSE,20,19,380
4/24/2024,周三,芋泥波波,雪,FALSE,FALSE,22,20,440
3/10/2024,周日,杨枝甘露,阴,TRUE,FALSE,25,18,450
3/23/2024,周六,青稞奶茶,晴,TRUE,FALSE,45,14,630
4/27/2024,周六,水果茶,雨,TRUE,TRUE,999,18,1062
5/19/2024,周日,芋泥波波,晴,TRUE,FALSE,44,15,660
3/14/2024,周四,青稞奶茶,雪,FALSE,TRUE,42,16,672
3/4/2024,周一,抹茶拿铁,雪,FALSE,FALSE,21,18,378
5/21/2024,周二,杨枝甘露,雨,FALSE,FALSE,19,22,418
3/19/2024,周二,芋泥波波,晴,FALSE,FALSE,17,18,306
3/11/2024,周一,青稞奶茶,雨,FALSE,FALSE,26,18,468
3/24/2024,周日,柠檬茶,雨,TRUE,TRUE,81,10,810
5/10/2024,周五,抹茶拿铁,雨,FALSE,FALSE,16,11,176
5/14/2024,周二,抹茶拿铁,雨,FALSE,TRUE,43,11,473
3/9/2024,周六,柠檬茶,阴,TRUE,FALSE,44,20,880
5/14/2024,周二,杨枝甘露,雨,FALSE,FALSE,23,18,414
3/29/2024,周五,水果茶,雨,FALSE,TRUE,40,17,680
4/9/2024,周二,抹茶拿铁,多云,FALSE,FALSE,14,14,196
3/18/2024,周一,可可奶茶,雨,FALSE,FALSE,26,11,286
3/3/2024,周日,可可奶茶,晴,TRUE,FALSE,54,16,864
3/28/2024,周四,珍珠奶茶,雪,FALSE,FALSE,26,15,390
3/20/2024,周三,芝士奶盖,多云,FALSE,FALSE,31,14,434
5/4/2024,周六,可可奶茶,阴,TRUE,FALSE,27,20,540
5/18/2024,周六,杨枝甘露,多云,TRUE,FALSE,43,22,946
5/24/2024,周五,杨枝甘露,雨,FALSE,TRUE,45,18,810
3/30/2024,周六,珍珠奶茶,雪,TRUE,FALSE,36,15,540
4/28/2024,周日,珍珠奶茶,雨,TRUE,TRUE,54,14,756
4/3/2024,周三,冰美式,阴,FALSE,FALSE,20,19,380
3/10/2024,周日,可可奶茶,阴,TRUE,FALSE,36,18,648
4/14/2024,周日,抹茶拿铁,雪,TRUE,TRUE,59,12,708
5/5/2024,周日,青稞奶茶,多云,TRUE,TRUE,55,11,605
4/23/2024,周二,芝士奶盖,阴,FALSE,FALSE,20,13,260
5/22/2024,周三,水果茶,多云,FALSE,TRUE,38,12,456
5/5/2024,周日,珍珠奶茶,多云,TRUE,TRUE,59,15,885
5/12/2024,周日,珍珠奶茶,晴,TRUE,FALSE,43,15,645
3/22/2024,周五,柠檬茶,雪,FALSE,TRUE,44,19,836
4/3/2024,周三,杨枝甘露,阴,FALSE,FALSE,21,19,399
3/17/2024,周日,芋泥波波,多云,TRUE,FALSE,33,20,660
3/20/2024,周三,冰美式,多云,FALSE,FALSE,999,19,418
5/4/2024,周六,芋泥波波,阴,TRUE,FALSE,36,18,648
5/26/2024,周日,水果茶,阴,TRUE,FALSE,41,18,738
5/1/2024,周三,水果茶,雪,FALSE,FALSE,30,11,330
4/2/2024,周二,抹茶拿铁,晴,FALSE,FALSE,25,16,400
3/1/2024,周五,珍珠奶茶,雪,FALSE,TRUE,36,14,504
3/14/2024,周四,杨枝甘露,雪,FALSE,FALSE,31,21,651
5/18/2024,周六,青稞奶茶,多云,TRUE,FALSE,45,17,765
5/11/2024,周六,可可奶茶,雨,TRUE,FALSE,49,15,735
4/20/2024,周六,杨枝甘露,多云,TRUE,FALSE,30,18,540
4/21/2024,周日,芝士奶盖,雪,TRUE,FALSE,42,12,504
5/21/2024,周二,珍珠奶茶,多云,FALSE,FALSE,21,15,315
4/3/2024,周三,柠檬茶,晴,FALSE,FALSE,27,16,432
5/6/2024,周一,青稞奶茶,多云,FALSE,FALSE,18,10,180
5/24/2024,周五,可可奶茶,多云,FALSE,TRUE,46,18,828
5/18/2024,周六,杨枝甘露,雨,TRUE,FALSE,26,19,494
4/5/2024,周五,水果茶,阴,FALSE,FALSE,999,18,432
3/9/2024,周六,芋泥波波,雨,TRUE,FALSE,50,19,950
4/5/2024,周五,柠檬茶,阴,FALSE,FALSE,25,10,250
4/22/2024,周一,可可奶茶,雪,FALSE,TRUE,32,11,352
4/2/2024,周二,可可奶茶,阴,FALSE,FALSE,27,17,459
4/13/2024,周六,抹茶拿铁,雪,TRUE,FALSE,46,11,506
4/18/2024,周四,柠檬茶,雨,FALSE,FALSE,0,18,648
4/1/2024,周一,青稞奶茶,阴,FALSE,FALSE,17,11,187
3/23/2024,周六,抹茶拿铁,雨,TRUE,FALSE,44,14,616
5/27/2024,周一,柠檬茶,多云,FALSE,FALSE,28,14,392
3/26/2024,周二,柠檬茶,多云,FALSE,FALSE,22,11,242
5/24/2024,周五,抹茶拿铁,雪,FALSE,FALSE,17,15,255
5/3/2024,周五,冰美式,阴,FALSE,TRUE,40,16,640
5/13/2024,周一,杨枝甘露,雪,FALSE,FALSE,0,22,396
4/20/2024,周六,杨枝甘露,晴,TRUE,FALSE,46,20,920
3/2/2024,周六,柠檬茶,雪,TRUE,TRUE,61,14,854
4/3/2024,周三,柠檬茶,阴,FALSE,FALSE,23,15,345
4/24/2024,周三,柠檬茶,雨,FALSE,FALSE,37,17,629
3/17/2024,周日,冰美式,晴,TRUE,FALSE,35,18,630
4/18/2024,周四,柠檬茶,多云,FALSE,FALSE,14,12,168
3/18/2024,周一,可可奶茶,阴,FALSE,FALSE,-1,19,532
5/28/2024,周二,杨枝甘露,多云,FALSE,FALSE,18,18,324
4/12/2024,周五,青稞奶茶,雨,FALSE,FALSE,-1,15,375
4/14/2024,周日,冰美式,雪,TRUE,FALSE,41,18,738
4/6/2024,周六,芝士奶盖,雪,TRUE,FALSE,42,11,462
4/6/2024,周六,抹茶拿铁,多云,TRUE,FALSE,55,15,825
5/18/2024,周六,冰美式,晴,TRUE,TRUE,55,15,825
4/7/2024,周日,青稞奶茶,阴,TRUE,FALSE,51,15,765
5/6/2024,周一,抹茶拿铁,多云,FALSE,TRUE,35,13,455
5/29/2024,周三,芋泥波波,多云,FALSE,FALSE,17,11,187
4/30/2024,周二,可可奶茶,晴,FALSE,FALSE,19,11,209
5/19/2024,周日,杨枝甘露,阴,TRUE,FALSE,30,20,600
3/17/2024,周日,杨枝甘露,多云,TRUE,TRUE,66,20,1320
4/29/2024,周一,可可奶茶,雪,FALSE,FALSE,26,12,312
4/28/2024,周日,冰美式,雪,TRUE,FALSE,46,14,644
5/1/2024,周三,可可奶茶,晴,FALSE,FALSE,22,16,352
4/8/2024,周一,珍珠奶茶,雪,FALSE,FALSE,12,14,168
5/8/2024,周三,珍珠奶茶,阴,FALSE,FALSE,31,14,434
3/1/2024,周五,可可奶茶,多云,FALSE,FALSE,29,16,464
3/21/2024,周四,水果茶,多云,FALSE,FALSE,28,20,560
5/18/2024,周六,青稞奶茶,雪,TRUE,FALSE,40,13,520
3/24/2024,周日,杨枝甘露,晴,TRUE,FALSE,43,21,903
5/19/2024,周日,抹茶拿铁,雨,TRUE,TRUE,49,10,490
3/14/2024,周四,青稞奶茶,多云,FALSE,FALSE,18,13,234
3/2/2024,周六,抹茶拿铁,雨,TRUE,FALSE,38,15,570
3/5/2024,周二,芝士奶盖,多云,FALSE,TRUE,29,18,522
3/25/2024,周一,青稞奶茶,晴,FALSE,TRUE,41,17,697
3/5/2024,周二,柠檬茶,晴,FALSE,FALSE,27,17,459
4/9/2024,周二,芝士奶盖,晴,FALSE,FALSE,23,18,414
5/1/2024,周三,青稞奶茶,雨,FALSE,FALSE,26,13,338
3/31/2024,周日,水果茶,晴,TRUE,TRUE,58,11,638
4/1/2024,周一,珍珠奶茶,雪,FALSE,FALSE,18,13,234
3/12/2024,周二,柠檬茶,阴,FALSE,TRUE,39,20,780
4/15/2024,周一,杨枝甘露,多云,FALSE,FALSE,18,22,396
4/14/2024,周日,抹茶拿铁,晴,TRUE,FALSE,36,12,432
3/6/2024,周三,抹茶拿铁,雪,FALSE,FALSE,31,13,403
5/9/2024,周四,芝士奶盖,阴,FALSE,FALSE,29,18,522
5/7/2024,周二,杨枝甘露,雨,FALSE,FALSE,32,20,640
5/21/2024,周二,可可奶茶,多云,FALSE,FALSE,31,15,465
3/31/2024,周日,芝士奶盖,雪,TRUE,FALSE,30,18,540
5/10/2024,周五,杨枝甘露,雨,FALSE,FALSE,24,18,432
5/24/2024,周五,芋泥波波,多云,FALSE,TRUE,24,11,264
3/13/2024,周三,珍珠奶茶,阴,FALSE,FALSE,-1,14,434
5/17/2024,周五,芋泥波波,多云,FALSE,FALSE,11,17,187
3/8/2024,周五,芝士奶盖,雨,FALSE,FALSE,23,19,437
3/6/2024,周三,芋泥波波,晴,FALSE,FALSE,27,11,297
3/30/2024,周六,可可奶茶,多云,TRUE,TRUE,60,19,1140
3/23/2024,周六,可可奶茶,阴,TRUE,FALSE,52,19,988
4/28/2024,周日,水果茶,多云,TRUE,FALSE,36,16,576
5/24/2024,周五,杨枝甘露,雨,FALSE,FALSE,32,20,640
4/22/2024,周一,水果茶,雪,FALSE,FALSE,28,13,364
5/10/2024,周五,青稞奶茶,阴,FALSE,FALSE,27,10,270
4/6/2024,周六,冰美式,雪,TRUE,TRUE,39,14,546
3/28/2024,周四,芝士奶盖,雨,FALSE,FALSE,18,18,324
5/13/2024,周一,杨枝甘露,晴,FALSE,FALSE,15,19,285
5/14/2024,周二,柠檬茶,雨,FALSE,TRUE,51,13,663
4/11/2024,周四,抹茶拿铁,阴,FALSE,FALSE,24,11,264
4/8/2024,周一,珍珠奶茶,晴,FALSE,FALSE,27,14,378
4/25/2024,周四,水果茶,多云,FALSE,FALSE,22,10,220
5/20/2024,周一,水果茶,雨,FALSE,FALSE,16,18,288
4/11/2024,周四,可可奶茶,多云,FALSE,TRUE,40,19,760
3/12/2024,周二,柠檬茶,雨,FALSE,TRUE,50,17,850
3/7/2024,周四,可可奶茶,雨,FALSE,TRUE,46,12,552
5/1/2024,周三,可可奶茶,阴,FALSE,FALSE,25,13,325
5/7/2024,周二,柠檬茶,晴,FALSE,FALSE,23,15,345
5/13/2024,周一,芋泥波波,阴,FALSE,FALSE,18,13,234
5/16/2024,周四,珍珠奶茶,多云,FALSE,FALSE,28,15,420
4/26/2024,周五,珍珠奶茶,多云,FALSE,FALSE,19,12,228
3/7/2024,周四,柠檬茶,雨,FALSE,FALSE,20,14,280
3/3/2024,周日,芝士奶盖,雪,TRUE,FALSE,39,18,702
5/10/2024,周五,抹茶拿铁,晴,FALSE,FALSE,-1,18,432
3/8/2024,周五,青稞奶茶,雪,FALSE,FALSE,23,20,460
3/9/2024,周六,水果茶,雨,TRUE,FALSE,33,14,462
5/23/2024,周四,水果茶,阴,FALSE,FALSE,18,15,270
5/16/2024,周四,可可奶茶,多云,FALSE,TRUE,999,10,370
4/9/2024,周二,芝士奶盖,阴,FALSE,FALSE,25,15,375
4/15/2024,周一,青稞奶茶,雪,FALSE,FALSE,17,20,340
4/19/2024,周五,珍珠奶茶,多云,FALSE,TRUE,44,13,572
4/18/2024,周四,可可奶茶,阴,FALSE,FALSE,19,16,304
5/17/2024,周五,芝士奶盖,雪,FALSE,TRUE,46,19,874
3/26/2024,周二,杨枝甘露,雪,FALSE,FALSE,25,19,475
5/12/2024,周日,杨枝甘露,晴,TRUE,FALSE,36,19,684
3/19/2024,周二,珍珠奶茶,阴,FALSE,FALSE,24,15,360
5/21/2024,周二,青稞奶茶,多云,FALSE,TRUE,26,19,494
5/17/2024,周五,冰美式,雪,FALSE,FALSE,27,10,270
5/28/2024,周二,抹茶拿铁,雪,FALSE,FALSE,21,20,420
4/19/2024,周五,抹茶拿铁,多云,FALSE,TRUE,38,16,608
3/2/2024,周六,青稞奶茶,多云,TRUE,FALSE,41,13,533
4/26/2024,周五,冰美式,雨,FALSE,FALSE,28,16,448
3/6/2024,周三,冰美式,雨,FALSE,FALSE,31,19,589
5/22/2024,周三,珍珠奶茶,阴,FALSE,FALSE,13,13,169
4/20/2024,周六,珍珠奶茶,阴,TRUE,FALSE,52,12,624
4/26/2024,周五,水果茶,雨,FALSE,FALSE,25,14,350
3/7/2024,周四,可可奶茶,阴,FALSE,FALSE,21,11,231
3/15/2024,周五,杨枝甘露,阴,FALSE,FALSE,21,18,378
5/15/2024,周三,柠檬茶,晴,FALSE,FALSE,34,12,408
3/16/2024,周六,芋泥波波,阴,TRUE,FALSE,29,18,522
5/5/2024,周日,冰美式,阴,TRUE,FALSE,30,12,360
5/12/2024,周日,杨枝甘露,多云,TRUE,TRUE,46,20,920
4/27/2024,周六,青稞奶茶,多云,TRUE,TRUE,60,10,600
4/2/2024,周二,珍珠奶茶,阴,FALSE,FALSE,32,12,384
5/3/2024,周五,柠檬茶,雪,FALSE,FALSE,23,16,368
5/16/2024,周四,冰美式,多云,FALSE,FALSE,14,19,266
3/27/2024,周三,珍珠奶茶,多云,FALSE,TRUE,30,13,390
5/25/2024,周六,冰美式,雨,TRUE,FALSE,45,10,450
3/23/2024,周六,杨枝甘露,雪,TRUE,FALSE,43,22,946
3/23/2024,周六,抹茶拿铁,雨,TRUE,FALSE,44,14,616
4/18/2024,周四,芋泥波波,雪,FALSE,TRUE,42,11,462
4/5/2024,周五,芝士奶盖,雪,FALSE,FALSE,26,19,494
5/13/2024,周一,可可奶茶,阴,FALSE,FALSE,21,14,294
4/10/2024,周三,青稞奶茶,多云,FALSE,FALSE,28,18,504
5/3/2024,周五,抹茶拿铁,雪,FALSE,FALSE,-1,13,247
4/29/2024,周一,芋泥波波,雪,FALSE,FALSE,22,10,220
5/11/2024,周六,柠檬茶,多云,TRUE,FALSE,29,11,319
5/4/2024,周六,可可奶茶,晴,TRUE,TRUE,55,16,880
5/18/2024,周六,珍珠奶茶,多云,TRUE,FALSE,35,15,525
3/5/2024,周二,杨枝甘露,多云,FALSE,FALSE,33,20,660
4/22/2024,周一,珍珠奶茶,雪,FALSE,FALSE,24,12,288
5/27/2024,周一,芝士奶盖,晴,FALSE,FALSE,25,10,250
4/18/2024,周四,可可奶茶,雪,FALSE,FALSE,17,19,323
4/9/2024,周二,芝士奶盖,雨,FALSE,FALSE,18,13,234
4/8/2024,周一,柠檬茶,多云,FALSE,TRUE,32,11,352
3/4/2024,周一,抹茶拿铁,多云,FALSE,FALSE,21,18,378
4/11/2024,周四,杨枝甘露,雪,FALSE,FALSE,15,19,285
4/28/2024,周日,水果茶,晴,TRUE,TRUE,61,19,1159
4/12/2024,周五,抹茶拿铁,晴,FALSE,FALSE,0,14,294
5/21/2024,周二,柠檬茶,多云,FALSE,TRUE,42,15,630
5/25/2024,周六,芋泥波波,多云,TRUE,TRUE,44,19,836
3/14/2024,周四,柠檬茶,雪,FALSE,FALSE,23,14,322
3/22/2024,周五,芋泥波波,雪,FALSE,FALSE,27,17,459
3/4/2024,周一,抹茶拿铁,晴,FALSE,FALSE,12,16,192
5/30/2024,周四,冰美式,雪,FALSE,FALSE,29,13,377
5/25/2024,周六,可可奶茶,阴,TRUE,FALSE,28,17,476
4/9/2024,周二,抹茶拿铁,多云,FALSE,FALSE,27,19,513
4/16/2024,周二,水果茶,雨,FALSE,FALSE,20,17,340
3/9/2024,周六,抹茶拿铁,雨,TRUE,FALSE,30,14,420
5/17/2024,周五,冰美式,雪,FALSE,TRUE,30,18,540
4/8/2024,周一,可可奶茶,阴,FALSE,FALSE,27,19,513
3/21/2024,周四,抹茶拿铁,晴,FALSE,FALSE,31,16,496
4/25/2024,周四,冰美式,雪,FALSE,FALSE,22,20,440
5/31/2024,周五,冰美式,晴,FALSE,FALSE,32,15,480
4/26/2024,周五,杨枝甘露,阴,FALSE,TRUE,40,22,880
4/18/2024,周四,芝士奶盖,晴,FALSE,TRUE,46,20,920
3/19/2024,周二,杨枝甘露,雪,FALSE,FALSE,33,22,726
3/27/2024,周三,芝士奶盖,雪,FALSE,FALSE,29,14,406
4/25/2024,周四,芝士奶盖,雪,FALSE,TRUE,36,12,432
3/8/2024,周五,芝士奶盖,晴,FALSE,FALSE,16,11,176
3/4/2024,周一,柠檬茶,雪,FALSE,FALSE,28,16,448
4/25/2024,周四,可可奶茶,多云,FALSE,FALSE,19,18,342
4/16/2024,周二,水果茶,雨,FALSE,FALSE,24,12,288
3/10/2024,周日,珍珠奶茶,阴,TRUE,FALSE,31,12,372
4/23/2024,周二,抹茶拿铁,雪,FALSE,TRUE,47,18,846
